experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
stress_compare_hybrid_v3,adaptive_seed41_spawn1p50,adaptive,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,33.93814583259437,27.936730929465227,36.45379247096861,31.1739840179637,34.54715033894435,88.03767607500956,,81.99983600032142,16.28333333333333,,0.716188135704977,246,349,270,79,166,0
stress_compare_hybrid_v3,adaptive_seed42_spawn1p50,adaptive,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,32.27733343486986,30.766464310586517,32.795071280302395,33.43029916726541,26.855244006198475,85.94600522500825,,91.33315066702468,15.416666666666668,,0.6592032479091979,274,375,270,105,148,0
stress_compare_hybrid_v3,adaptive_seed43_spawn1p50,adaptive,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,28.19267483564209,22.57023317456637,33.60642913783892,33.49174590492992,22.57963525687021,80.54182775000875,,86.99982600034102,13.449305555555554,,0.6656450938998109,261,356,270,86,168,0
stress_compare_hybrid_v3,adaptive_seed44_spawn1p50,adaptive,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,27.1174415885259,35.13364843667547,26.13262073833311,21.16170354336797,28.731057192453743,70.10847355000762,,96.66647333371225,13.59513888888889,,0.6081277164700942,290,367,270,97,192,0
stress_compare_hybrid_v3,adaptive_seed45_spawn1p50,adaptive,45,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,33.04502622221364,28.197734757119456,33.98633033737748,34.19927780013149,30.02549575875973,82.91266582500901,,86.33316066700507,15.993055555555555,,0.6712166889260608,259,370,270,100,144,0
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,25.76851440307231,28.78070665668788,22.603858552223663,26.390315025997687,21.20856280234716,67.2043010750064,,100.99979800039588,13.455555555555556,,0.6659809059625666,303,382,270,112,191,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.376467202971117,24.240830876255774,21.53295408389978,25.794426428741847,20.318515564801476,56.22927912500611,,94.66647733370442,12.501388888888888,,0.6270798145560954,284,368,270,98,186,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.4309779322741,30.304399089241272,18.293511257986804,24.250211899021814,19.458073831792145,63.808460950005866,,96.66647333371225,12.627777777777778,,0.7323212691028783,290,364,270,94,196,0
stress_compare_hybrid_v3,fixed_seed44_spawn1p50,fixed,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,27.24116580146153,31.928112657368988,25.424305315498003,23.320270146518077,20.47933151196601,70.65847465000546,,101.66646333373184,13.730555555555556,,0.5644388346564849,305,382,270,112,193,0
stress_compare_hybrid_v3,fixed_seed45_spawn1p50,fixed,45,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,27.78552723439551,31.51712060073459,24.677163651970524,27.44759184944179,22.38670984357452,72.00847735000782,,100.66646533372791,14.064583333333331,,0.6162993458643317,302,392,270,122,180,0
stress_compare_hybrid_v3,greedy_seed41_spawn1p50,greedy,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,26.47168966766321,27.80038716565269,28.679217304559344,23.821377279758323,37.300256102891765,79.70432607500818,,90.9998180003567,13.008333333333333,,0.6141238262862418,273,342,270,72,191,0
stress_compare_hybrid_v3,greedy_seed42_spawn1p50,greedy,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.498559014158104,26.05339932891937,33.02423832668664,25.231663813735008,18.0987573876745,68.82930432500612,,96.66647333371225,12.338888888888889,,0.775168527155491,290,355,270,85,177,0
stress_compare_hybrid_v3,greedy_seed43_spawn1p50,greedy,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,26.971928799628287,31.92265599262347,23.062729981474867,32.48340996620215,23.74800364604457,79.6501593000078,,101.66646333373184,12.89236111111111,,0.6779663567342482,305,370,270,100,185,0
stress_compare_hybrid_v3,greedy_seed44_spawn1p50,greedy,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.3159038126232,22.93894430576012,21.122986419772097,23.24214071077028,41.072547041148766,83.65433397500867,,96.33314066704428,12.738194444444444,,0.5969569852600353,289,355,270,85,182,0
stress_compare_hybrid_v3,greedy_seed45_spawn1p50,greedy,45,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,29.00455792789156,24.32012114831728,28.18425081283589,21.492282750563568,42.08573418052431,84.77516955000839,,95.33314266704036,13.688194444444443,,0.6107125768306542,286,364,270,94,168,0
stress_compare_hybrid_v3,neural_seed41_spawn1p50,neural,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,29.224681673664247,28.813939532300594,31.530646411607854,25.227309268622644,33.08983139117378,77.37932142500841,,92.99981400036454,13.499305555555557,,0.7224632212224652,279,356,270,86,190,0
stress_compare_hybrid_v3,neural_seed42_spawn1p50,neural,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,27.957704189777623,22.70165206860904,27.514077947333423,29.56612048246001,33.8229038771329,82.25433117500893,,91.33315066702468,13.483333333333333,,0.6163155367146407,274,353,270,83,189,0
stress_compare_hybrid_v3,neural_seed43_spawn1p50,neural,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,28.55156823693337,26.787787491318053,27.636889072181617,33.90669129597668,27.629062179099392,80.73349480000877,,91.66648333369264,13.591666666666669,,0.5212673891548895,275,373,270,103,166,0
stress_compare_hybrid_v3,neural_seed44_spawn1p50,neural,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,29.204550144993547,31.8228215820271,25.018225323709203,30.726045715869407,30.26595529879028,77.94598922500847,,91.33315066702468,14.294444444444444,,0.6928945417477528,274,356,270,86,172,0
stress_compare_hybrid_v3,neural_seed45_spawn1p50,neural,45,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,28.276685293124157,26.182444840934977,25.174824601356956,30.17401690854049,31.082093363859936,80.98766197500879,,93.33314666703252,13.647916666666667,,0.7260521006711083,280,362,270,92,185,0
stress_compare_hybrid_v3,random_seed41_spawn1p50,random,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,43.525045470062,22.738678428180005,50.49639184225968,37.2460067309253,48.274474514334834,124.25441517501186,,91.33315066702468,21.385416666666668,,0.735546672814518,274,358,270,88,176,0
stress_compare_hybrid_v3,random_seed42_spawn1p50,random,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,43.19312968008772,29.73415107357846,50.17197460103224,26.198184676732875,45.86367755666936,133.85860105001413,,77.3331786669698,21.433333333333334,,0.5112275280706615,232,364,270,94,127,0
