phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
0.0,0.0,1.0,0.0,0.2,0.6,0.0,0.1,0.9870138888893617,0.7075694444449271,0.0,0.20500000000016314,1.0,1.0,0.0,0.28000000000022285,0.0,0.0,0.6666666666666666,0.43333333333333335,1
0.0,1.0,0.0,0.0,0.15,0.0,0.7,0.25,0.15805555555568135,0.0,0.5582936507940718,0.09905555555563438,0.238333333333523,0.0,1.0,0.2680555555557689,0.6333333333333333,0.0,0.0,0.2,2
0.0,0.0,1.0,0.0,0.2,0.15,0.0,0.05,0.19652777777793418,0.316851851852104,0.0,0.0,0.5727777777782336,0.4327777777781222,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.42288888888922543,0.5826666666671303,0.0,0.0,0.7394444444450329,1.0,0.0,0.0,0.36666666666666664,0.3,0.0,2
0.0,1.0,0.0,0.0,0.4,0.0,0.1,0.1,0.21715277777795058,0.0,0.33736111111137956,0.12291666666676448,0.8227777777784325,0.0,0.6747222222227591,0.24583333333352897,0.23333333333333334,0.5333333333333333,0.0,0.0,0
0.0,1.0,0.0,0.0,0.25,0.05,0.15,0.2,1.0,0.0,0.04157407407410716,0.476388888889268,1.0,0.0,0.08638888888895764,0.7633333333339408,0.0,0.0,0.5333333333333333,0.23333333333333334,0
0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.4,0.4353888888892354,0.41866666666699986,0.0,0.4407291666670174,0.7550000000006009,0.6819444444449871,0.0,0.7847222222228467,0.43333333333333335,0.0,0.0,0.6,3
0.0,0.0,1.0,0.0,0.0,0.3,0.05,0.05,0.0,0.6317592592597621,0.0,0.14138888888900142,0.0,1.0,0.0,0.14138888888900142,0.0,0.26666666666666666,0.4,0.0,1
1.0,0.0,0.0,0.0,0.05,0.05,0.5,0.6,0.0,0.2163888888890611,0.5149166666670764,0.47641203703741614,0.0,0.2163888888890611,1.0,0.9650000000007679,0.4,0.4666666666666667,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.4,0.25,0.2,0.0,0.6711111111116452,0.2572222222224269,0.8930555555562663,0.0,1.0,0.5030555555559559,1.0,0.0,0.0,0.43333333333333335,0.43333333333333335,1
0.0,0.0,0.0,1.0,0.35,0.3,0.0,0.0,0.5990079365084131,0.6947685185190714,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.0,0.0,0.7666666666666667,0
0.0,1.0,0.0,0.0,0.5,0.0,0.1,0.1,0.42047222222255687,0.0,0.1206944444445405,0.24569444444463998,1.0,0.0,0.20888888888905513,0.49138888888927995,0.0,0.6333333333333333,0.6333333333333333,0.0,0
0.0,0.0,0.0,1.0,0.15,0.1,0.6,0.05,0.2290740740741992,0.5056944444447612,0.8082638888894536,0.0,0.4347222222224824,0.6663888888893335,1.0,0.0,0.23333333333333334,0.36666666666666664,0.0,0.0,2
1.0,0.0,0.0,0.0,0.0,0.35,0.1,0.1,0.0,0.950634920635563,0.038611111111084756,0.13666666666666127,0.0,1.0,0.07722222222216951,0.18666666666670106,0.7333333333333333,0.0,0.0,0.6333333333333333,1
0.0,1.0,0.0,0.0,0.45,0.0,0.25,0.4,0.5942283950620841,0.0,0.6305000000003591,0.7312152777782498,1.0,0.0,0.9197222222228115,1.0,0.0,0.0,0.4,0.2,3
