experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
rl_boost_train_v1,rl_seed21_spawn1p00,rl,21,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,0,52.76759524686428,70.59131765287034,34.28050334343812,56.311877329356086,52.03856561534624,148.38363009976308,246.90049379992294,22.399955200109257,16.921666666666667,32,0.7584033613445378,224,243,168,75,155,0
rl_boost_train_v1,rl_seed21_spawn1p00,rl,21,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,1,60.81123273326733,59.76652578274601,49.041402430376365,62.7881597640306,64.58611951008022,197.76706219968423,237.41714149962093,17.699964600086332,15.786666666666667,44,0.54,177,195,138,57,120,0
rl_boost_train_v1,rl_seed21_spawn1p00,rl,21,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,2,56.90530386879857,24.45950837835104,73.840070160368,53.821800765023184,55.43780928807083,172.717012099836,229.53379239984247,19.69996060009609,20.845,39,0.3497088791848617,197,228,155,73,120,0
rl_boost_train_v1,rl_seed21_spawn1p00,rl,21,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,3,55.58319197418773,55.713927217056955,70.17759133521888,24.40261290766616,70.01420252805309,179.71702609971598,235.15047029962454,16.799966400081942,17.366666666666667,36,0.45546558704453444,168,198,139,59,100,0
rl_boost_train_v1,rl_seed21_spawn1p00,rl,21,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,-1,56.516830955779476,52.63281975775609,56.83489181735034,49.33111269151901,60.519174235387595,174.64618262474983,,76.59984680037363,17.73,,0.5258944568934835,766,864,600,264,495,0
rl_boost_train_v1,rl_seed22_spawn1p00,rl,22,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,0,62.55374145936136,44.23252089725715,26.06098962185063,100.30339695328759,49.55271815281257,232.367131399629,324.167314999563,19.199961600093648,16.6375,43,0.5102040816326531,192,212,137,75,139,0
rl_boost_train_v1,rl_seed22_spawn1p00,rl,22,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,1,60.00332814407281,59.00184214133969,45.14614292364887,83.29562113624829,49.38370091770152,163.81699429973844,251.2505024996794,18.399963200089747,21.204166666666666,37,0.5697831978319783,184,213,166,47,107,0
rl_boost_train_v1,rl_seed22_spawn1p00,rl,22,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,2,49.89105216280788,27.613496087066075,76.27444633382979,47.97620036982881,30.780692191861057,153.7003074000167,190.00037999969663,19.799960400096573,15.99,32,0.8571428571428571,198,210,149,61,137,0
rl_boost_train_v1,rl_seed22_spawn1p00,rl,22,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,3,53.500738912743245,40.242553603190025,67.33768487583953,51.61538100826948,44.88120087328866,172.233677799725,211.60042319993943,17.79996440008682,17.401666666666667,36,0.4669811320754717,178,211,148,63,121,0
rl_boost_train_v1,rl_seed22_spawn1p00,rl,22,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,-1,56.48721516974632,42.77260318221323,53.7048159387922,70.79764986690854,43.64957803391595,180.52952772477727,,75.19984960036679,17.808333333333334,,0.60102781717074,752,846,600,246,504,0
rl_boost_train_v1,rl_seed23_spawn1p00,rl,23,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,0,50.07203812831793,31.56997054718394,62.51560122135033,42.59354510248804,62.689477230491235,170.63367459972756,323.0006459994843,18.799962400091697,15.164166666666667,31,0.5506042296072508,188,215,145,70,129,0
rl_boost_train_v1,rl_seed23_spawn1p00,rl,23,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,1,59.21117369842518,64.28421947719505,62.847674714615124,32.83705754387341,69.9504272568278,192.61705189989732,269.333871999901,16.89996620008243,17.79,39,0.4411764705882353,169,199,146,53,98,0
rl_boost_train_v1,rl_seed23_spawn1p00,rl,23,1.0,600.0011999994734,0.0166667,models/rl_boost_shared_v1.json,True,2,66.7421593460457,50.39547116107984,52.64804768266197,89.76965745049267,61.08033049366297,183.33369999970728,270.0005399995689,19.5999608000956,22.1525,45,0.5510204081632653,196,232,156,76,130,0
