experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,0,25.893722673420115,21.714749311766543,22.486711640002433,30.932006308336483,25.329217325002066,61.76679020000671,79.98349330000869,19.999960000078396,10.730555555555556,21,0.546969696969697,60,79,53,26,41,0
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,1,24.99804196385771,42.24501202609082,19.85337304000208,17.97027403571595,17.865089493549885,82.35016470000895,94.80018960000648,22.333288666754207,10.377777777777778,22,0.7619047619047619,67,83,59,24,42,0
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,2,24.394850012846465,13.000026000001279,21.128420635137342,39.249068396973676,18.00448045333476,66.66680000000365,95.15019030001034,29.333274666781644,14.747222222222222,24,0.7399328859060402,88,109,78,31,56,0
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,3,27.787442962164945,38.163039288892875,26.94692889375279,17.409911362964642,23.63546393750192,58.033449400006305,79.63349260000754,29.333274666781644,17.966666666666665,29,0.6151162790697674,88,111,80,31,52,0
stress_compare_hybrid_v3,fixed_seed41_spawn1p50,fixed,41,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,25.76851440307231,28.78070665668788,22.603858552223663,26.390315025997687,21.20856280234716,67.2043010750064,,100.99979800039588,13.455555555555556,,0.6659809059625666,303,382,270,112,191,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,0,26.098902772416263,18.835935107694226,22.326711320002296,35.22211345484213,21.391114210716047,64.30012860000699,88.00017600000956,21.666623333418265,11.7,27,0.5761904761904761,65,87,59,28,45,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,1,23.10107712989915,31.217919578574556,16.531977508335103,18.10975844166833,22.232872748486933,51.416769500005586,82.80016560000732,23.999952000094076,13.191666666666666,25,0.7070135746606335,72,97,73,24,42,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,2,24.444556464775072,15.782323231251466,25.26803299210793,30.816033854169614,19.883373100001073,54.066774800005874,95.95019190001042,23.33328666675813,11.475,21,0.6428571428571429,70,88,64,24,50,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,3,23.861332444793963,31.12714558750286,22.0050945151538,19.029799964287314,17.766702200001838,55.13344360000599,92.48351830000647,25.666615333433942,13.63888888888889,22,0.582258064516129,77,96,74,22,49,0
stress_compare_hybrid_v3,fixed_seed42_spawn1p50,fixed,42,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.376467202971114,24.240830876255778,21.53295408389978,25.794426428741847,20.318515564801473,56.22927912500611,,94.66647733370442,12.501388888888888,,0.6270798145560954,284,368,270,98,186,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,0,25.424336562859544,21.154671938891187,11.009825941177667,36.445906225003455,24.614084315791583,63.33346000000364,96.55019310001049,27.66661133344178,14.05,26,0.7469135802469136,83,105,74,31,60,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,1,24.219432496741558,33.055423253575015,18.21798515384807,20.51180572941373,21.09121865294308,67.75013550000736,94.23352180001024,22.999954000090153,13.108333333333333,25,0.7148648648648649,69,92,68,24,46,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,2,24.190010501138598,23.630602816668816,24.532402005884915,25.483384300002207,21.99808321176638,54.26677520000487,88.01684270000956,26.333280666769888,12.705555555555556,22,0.6982758620689655,79,88,67,21,53,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,3,23.8901321683567,43.37689834783007,19.413831931036565,14.559751341667855,10.128909146667533,69.88347310000759,82.75016550000899,19.66662733341042,10.647222222222222,20,0.7692307692307693,59,79,61,18,37,0
stress_compare_hybrid_v3,fixed_seed43_spawn1p50,fixed,43,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,-1,24.4309779322741,30.304399089241272,18.293511257986804,24.250211899021814,19.458073831792145,63.808460950005866,,96.66647333371225,12.627777777777778,,0.7323212691028783,290,364,270,94,196,0
stress_compare_hybrid_v3,fixed_seed44_spawn1p50,fixed,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,0,25.296010187881187,21.285042570002048,22.205996792859498,31.354964670591364,22.633916235485717,58.66678400000387,87.4335082000095,26.333280666769888,12.563888888888888,23,0.5952380952380952,79,99,66,33,51,0
stress_compare_hybrid_v3,fixed_seed44_spawn1p50,fixed,44,1.5,180.00036000001444,0.0166667,models/rl_qtable.json,False,1,25.638512815387152,36.69286617838206,23.136011184212837,17.430193590477966,18.635222455557273,65.03346340000707,93.20018640001012,25.999948000101913,15.3,26,0.5314465408805031,78,104,77,27,44,0
