epoch,experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
1,pres2_sw015_ws12_20260313_train_e001,rl_seed40_spawn2p00,rl,40,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,14.618019357666192,12.428109736546228,14.347498192662682,14.036707366286079,15.611788164025906,35.537571074988726,,161.79967640067287,13.115833333333333,,0.8009960482866887,809,875,600,275,524,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed41_spawn2p00,rl,41,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,12.895356221231946,13.785410973233956,11.90702330146533,12.031700870028526,12.67726917330759,31.283395899989145,,162.99967400067783,12.182916666666667,,0.743989147256345,815,881,600,281,515,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed42_spawn2p00,rl,42,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,14.376181173542468,13.848117208534543,14.54558678994928,13.897389863688069,12.695803900327942,37.75424217498894,,157.99968400065706,13.025833333333333,,0.7689514518903613,790,865,600,265,510,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed43_spawn2p00,rl,43,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,13.880296343660529,12.799080715026616,12.907914829443754,14.543568714413198,13.333488196567863,35.120903575003815,,156.9996860006529,12.662083333333333,,0.6823016982499741,785,853,600,253,525,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed44_spawn2p00,rl,44,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,14.111192821200198,11.364798748717545,13.188108171531109,14.859411384371754,15.865351238713924,38.18340969998248,,156.19968760064955,12.802083333333334,,0.7687679887162646,781,860,600,260,514,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed45_spawn2p00,rl,45,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,14.976481783422514,14.616029974914472,12.465618816252151,15.60952369857934,15.966505568037512,38.98341129999315,,162.79967440067702,13.259583333333333,,0.8452387779680319,814,878,600,278,516,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed46_spawn2p00,rl,46,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,15.239058715350922,11.773495549797918,16.192608366301915,14.533336405842958,14.666791419484397,39.20424507498343,,158.59968280065954,14.005416666666667,,0.7637206823027718,793,876,600,276,510,0
1,pres2_sw015_ws12_20260313_train_e001,rl_seed47_spawn2p00,rl,47,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,15.396343502698365,14.192201107662683,16.516001083274684,16.298899399717875,12.436536606901736,41.58758317498561,,157.39968520065457,13.752916666666666,,0.8147046119217317,787,875,600,275,498,0
2,pres2_sw015_ws12_20260313_train_e002,rl_seed40_spawn2p00,rl,40,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,13.757467183546936,14.413591113289915,12.204852974120936,13.684925562644867,13.071155194940204,35.77507154999119,,160.99967800066952,12.765,,0.8414237029256483,805,881,600,281,517,0
2,pres2_sw015_ws12_20260313_train_e002,rl_seed41_spawn2p00,rl,41,2.0,300.00059999995244,0.0166667,models/studies/pres2_sw015_ws12_20260313/shared_qtable.json,True,-1,12.970599044613465,11.96209436673718,12.918967311581358,13.133511308926536,12.20822101902348,31.495896324982283,,159.5996808006637,12.267083333333334,,0.7662022275250369,798,869,600,269,514,0
