budget,neural_avg_wait,rl_avg_wait,neural_p95_wait,rl_p95_wait,neural_throughput,rl_throughput,neural_avg_queue,rl_avg_queue,neural_fairness,rl_fairness
1m,21.803223647882305,26.150364308236625,60.11428689500641,72.25597784500783,67.59986480026498,64.79987040025401,7.16625,8.324722222222222,0.6250695609577729,0.5999250302146946
3m,21.803223647882305,28.51876365831493,60.11428689500641,77.55932178500785,67.59986480026498,63.46653973358211,7.16625,8.795972222222222,0.6250695609577729,0.6318786583528577
5m,21.803223647882305,26.89781387598064,60.11428689500641,78.84765769500822,67.59986480026498,63.26654013358133,7.16625,8.91638888888889,0.6250695609577729,0.6296587262445688
10m,21.803223647882305,27.756117732107306,60.11428689500641,80.3768274200085,67.59986480026498,64.33320466691883,7.16625,8.892083333333332,0.6250695609577729,0.6237965200332625
