timestamp,elapsed_s,mode,seed,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index
2026-02-26T07:48:56.259342,5.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:48:56.259342,5.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:48:56.259342,5.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:48:56.259342,5.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:01.273091,10.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:01.273091,10.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:01.273091,10.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:01.273091,10.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:06.278262,15.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:06.278262,15.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:06.278262,15.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:06.278262,15.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:11.282760,20.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:11.282760,20.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:11.282760,20.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:11.282760,20.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:16.287761,25.0,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:16.287761,25.0,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:16.287761,25.0,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:16.287761,25.0,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:21.303599,30.1,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:21.303599,30.1,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:21.303599,30.1,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:21.303599,30.1,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:26.307602,35.1,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:26.307602,35.1,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:26.307602,35.1,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:26.307602,35.1,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:31.317848,40.1,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:31.317848,40.1,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:31.317848,40.1,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:31.317848,40.1,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:36.325950,45.1,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:36.325950,45.1,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:36.325950,45.1,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:36.325950,45.1,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:41.758086,50.5,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:41.758086,50.5,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:41.758086,50.5,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:41.758086,50.5,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:46.764442,55.5,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:46.764442,55.5,adaptive,42,1,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:46.764442,55.5,adaptive,42,2,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:46.764442,55.5,adaptive,42,3,0.00,0.00,0.00,0.00,0,0.00,1.000
2026-02-26T07:49:51.764469,60.5,adaptive,42,0,0.00,0.00,0.00,0.00,0,0.00,1.000
