mode,num_seeds,avg_wait_mean,avg_wait_std,avg_wait_min,avg_wait_max,avg_wait_cv,avg_wait_spread,p95_wait_mean,p95_wait_std,p95_wait_min,p95_wait_max,p95_wait_cv,p95_wait_spread,throughput_mean,throughput_std,throughput_min,throughput_max,throughput_cv,throughput_spread,avg_queue_mean,avg_queue_std,avg_queue_min,avg_queue_max,avg_queue_cv,avg_queue_spread,fairness_mean,fairness_std,fairness_min,fairness_max,fairness_cv,fairness_spread
adaptive,5,26.193673980233523,2.129613019652746,24.29221583866552,28.733768117934588,0.08130257027936637,4.441552279269068,69.53513907000745,2.8963270944556725,64.71262942500658,72.09181085000783,0.041652711610164074,7.379181425001249,63.06654053358054,2.6076757467293574,59.99988000023519,66.99986600026263,0.041348006798325475,6.999986000027441,8.635833333333334,0.3834140288453624,8.285416666666666,9.11875,0.044398034798266414,0.8333333333333339,0.5931882694045252,0.0975617356418661,0.4693340132264978,0.7130968425105891,0.1644701027884518,0.24376282928409132
fixed,5,25.542509566118195,1.4699868954469177,23.53153650528648,27.66796981964429,0.0575506056537544,4.136433314357813,61.76012352000623,6.80233691588098,52.30843795000568,68.69180405000706,0.1101412453243794,16.383366100001382,65.26653613358917,2.6076757467293565,60.99987800023911,67.66653133359857,0.03995425376017966,6.666653333359463,8.391527777777778,0.37017777834057075,7.864583333333333,8.859722222222222,0.044113275692284036,0.9951388888888895,0.6227600214356819,0.10169725537468124,0.4949117006494338,0.7729071369236401,0.16330087332875534,0.2779954362742063
greedy,5,21.778620629216846,1.1670977751984635,20.43015359471517,23.37025298242547,0.05358915034466221,2.940099387710301,67.87680242000731,5.537190178429305,59.37928542500645,74.09181485000786,0.0815770628699676,14.712529425001414,68.26653013360092,0.5477214620621974,67.3331986669306,68.6665293336025,0.008023279650954573,1.3333306666718983,7.145277777777778,0.4186139105377161,6.6506944444444445,7.751388888888889,0.05858609329921774,1.1006944444444446,0.6397756706263695,0.05268957934932564,0.5945294398255418,0.7185559006211181,0.08235633483489634,0.12402646079557622
neural,5,22.71432149758076,0.9223738389078395,21.70532363262407,23.617309428414615,0.04060758931346812,1.911985795790546,60.992621985006465,6.422583451561419,53.02510605000576,68.93347120000749,0.105300989571169,15.908365150001728,67.13319906692982,2.0357867930399136,64.99987000025479,69.66652733360641,0.030324590833371343,4.666657333351623,7.506805555555556,0.3638035311253303,7.110416666666667,8.057638888888889,0.04846316165150841,0.947222222222222,0.5942068733238173,0.07670173554956145,0.4879459308807135,0.6962957519903162,0.12908254514208942,0.20834982110960276
random,5,45.30243067861172,5.230464029005425,36.96205426132742,49.57624831688425,0.11545658700107769,12.61419405555683,128.75192417001227,11.636717883902735,118.6377372750114,147.24196115001376,0.0903809240826325,28.60422387500236,52.466561733539,4.997767288196041,45.66657533351234,57.99988400022736,0.09525623793642345,12.33330866671502,14.067222222222222,1.6280295388592148,11.852777777777778,15.661805555555556,0.11573212629622,3.8090277777777786,0.5615085741479897,0.04851255206180549,0.4918991154663407,0.6190060188484993,0.08639681439489409,0.12710690338215858
rl,5,26.98670971496162,2.2784958666345387,24.16774042128236,29.470916285308757,0.0844302951601145,5.303175864026397,75.31598396500789,1.9323118721838715,73.17514635000795,77.26265452500755,0.02565606622203371,4.0875081749995985,62.79987440024615,2.7547882919424453,57.99988400022735,64.6665373335868,0.0438661433362938,6.666653333359456,8.56138888888889,0.5474571636802411,8.01388888888889,9.16875,0.06394490085489983,1.15486111111111,0.5647396094303515,0.031678379108502505,0.5193322690155414,0.6003754430355366,0.056093779468481486,0.08104317401999517
