epoch,split,summary_csv,n_runs,avg_wait_mean,throughput_mean,fairness_mean,red_light_violations_mean,avg_wait_std,throughput_std,fairness_std,red_light_violations_std,avg_wait_min,throughput_min,fairness_min,red_light_violations_min,avg_wait_max,throughput_max,fairness_max,red_light_violations_max,best_run_id,best_model_path,best_avg_wait,best_throughput,best_fairness,best_red_light_violations
1,validation,results\final_final_results_train10_val_e001\summary.csv,3,12.631134324286943,148.99970200058405,0.7511956464205826,0.0,0.6551826227118668,0.333332666667971,0.13550488906739871,0.0,11.900907265344102,148.66636933391607,0.6155930373730085,0.0,13.167538836867129,149.333034667252,0.8866026036354436,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_001.json,11.900907265344102,149.333034667252,0.8866026036354436,0.0
2,validation,results\final_final_results_train10_val_e002\summary.csv,3,13.765028875025104,150.11081088947728,0.7861128736933879,0.0,0.8119663181433696,1.0183481177383227,0.02567308852695777,0.0,12.86474413230993,148.99970200058402,0.7661424753856513,0.0,14.441897597575057,150.99969800059188,0.8150716035699702,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_002.json,12.86474413230993,150.99969800059188,0.7771245421245421,0.0
3,validation,results\final_final_results_train10_val_e003\summary.csv,3,13.73760020161976,145.1108208894577,0.7102184320160275,0.0,1.206279342026967,5.541081202189008,0.06117679541800511,0.0,13.022495913548486,139.99972000054876,0.6430668414201991,0.0,15.130323463822615,150.99969800059188,0.7627836508953498,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_003.json,13.022495913548486,150.99969800059188,0.6430668414201991,0.0
4,validation,results\final_final_results_train10_val_e004\summary.csv,3,13.5414111794037,150.33303266725594,0.7776744715509453,0.0,0.0810927221938921,1.7638306797148808,0.038297300530211464,0.0,13.447774624397695,148.99970200058405,0.7507960622649124,0.0,13.588649299461977,152.33302866726376,0.8215249662618084,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_004.json,13.447774624397695,148.99970200058405,0.7507960622649124,0.0
5,validation,results\final_final_results_train10_val_e005\summary.csv,3,14.06987948628467,150.11081088947728,0.7117264552348925,0.0,0.5831623778479653,3.3719912350158165,0.051311839201872676,0.0,13.59529110055727,147.99970400058012,0.6689783711368098,0.0,14.720879803150407,153.99969200060363,0.7686301443654385,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_005.json,13.59529110055727,153.99969200060363,0.6975708502024291,0.0
6,validation,results\final_final_results_train10_val_e006\summary.csv,3,14.046188375885984,146.5552624450189,0.666114716207304,0.0,0.920773525670137,4.220751539212713,0.060183172431545105,0.0,13.03061014522686,143.3330466672285,0.6294335265196409,0.0,14.826511027928875,151.33303066725986,0.7355716683768326,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_006.json,13.03061014522686,151.33303066725986,0.6294335265196409,0.0
7,validation,results\final_final_results_train10_val_e007\summary.csv,3,14.619181161472074,150.5552544450346,0.7206883807929478,0.0,1.1266937619502762,1.503080244780352,0.1009306501504008,0.0,13.372416996185791,148.99970200058405,0.6074196875921014,0.0,15.564468774257467,151.9996960005958,0.8010850609322304,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_007.json,13.372416996185791,150.66636533392392,0.8010850609322304,0.0
8,validation,results\final_final_results_train10_val_e008\summary.csv,3,15.04060964754608,150.88858711170255,0.6940081867180112,0.0,0.48397193098685143,0.6938872787141114,0.04193309160284931,0.0,14.48406172076102,150.33303266725594,0.6467638544251447,0.0,15.362697237546994,151.66636333392785,0.7268153390388413,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_008.json,14.48406172076102,150.33303266725594,0.7084453666900475,0.0
9,validation,results\final_final_results_train10_val_e009\summary.csv,3,15.324424999584501,151.5552524450385,0.7267601783145196,0.0,1.0852408671698168,2.9876228380315846,0.1022811825158637,0.0,14.229875243413545,149.66636733392,0.6092999106157001,0.0,16.400111046387174,154.99969000060756,0.7961558843911785,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_009.json,14.229875243413545,149.99970000058795,0.7748247399366802,0.0
10,validation,results\final_final_results_train10_val_e010\summary.csv,3,15.013963070419683,148.6663693339161,0.7739244743401421,0.0,1.5726805643808615,3.179790978474273,0.06104521838613151,0.0,13.616368647604965,145.33304266723636,0.7098153833655945,0.0,16.716937322776097,151.66636333392785,0.8313569044639133,0.0,rl_seed49_spawn2p00,models\epoch_snapshots\final_final_results_train10\epoch_010.json,13.616368647604965,148.99970200058405,0.7806011351909184,0.0
