epoch,experiment_id,run_id,mode,seed,spawn_rate,duration_s,fixed_dt_s,rl_model_path,rl_training,iid,avg_wait,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,p95_wait,max_wait,throughput,avg_queue,max_queue,fairness,crossed,spawned,external_spawned,transferred_in,exited_world,red_light_violations
1,final_final_results_train10_train_e001,rl_seed40_spawn2p00,rl,40,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,23.007861367516284,20.389864889726034,22.4546426095723,16.360114909051045,24.288002806313603,63.58762717500658,,156.59968680065123,18.684583333333332,,0.8170687736036573,783,857,600,257,513,0
1,final_final_results_train10_train_e001,rl_seed41_spawn2p00,rl,41,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,22.291116679626498,19.685934629083555,19.462110397750045,23.46697580816615,20.48835101360402,61.112622224995555,,153.9996920006404,18.035,,0.6397495026700241,770,875,600,275,476,0
1,final_final_results_train10_train_e001,rl_seed42_spawn2p00,rl,42,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,20.949603999106127,24.352355041282244,16.664779698959542,20.947777566074155,19.43504023165329,57.58344850000532,,154.39969120064208,16.623333333333335,,0.694236756591551,772,869,600,269,494,0
1,final_final_results_train10_train_e001,rl_seed43_spawn2p00,rl,43,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,19.520076494891455,15.687670019308719,18.798090320851166,19.264130667401062,19.75155683571582,52.90010580000517,,154.79969040064373,15.989166666666666,,0.7943284786026722,774,854,600,254,506,0
1,final_final_results_train10_train_e001,rl_seed44_spawn2p00,rl,44,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,20.982191015906842,20.354490389434854,21.039828767382904,20.550833523987688,17.33655615917847,55.92094517499079,,155.39968920064624,16.7675,,0.7769281232484841,777,863,600,263,501,0
1,final_final_results_train10_train_e001,rl_seed45_spawn2p00,rl,45,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,19.756859561016977,18.21574298141367,20.641856769195087,18.92104657705766,18.03719040257247,50.87926842500212,,158.39968320065873,16.22875,,0.7279598969083662,792,866,600,266,514,0
1,final_final_results_train10_train_e001,rl_seed46_spawn2p00,rl,46,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,18.074764281873392,15.163598032629276,15.094103556243395,18.574972045701156,19.162207790995698,49.466765599989195,,155.99968800064872,15.472916666666666,,0.8069400788102352,780,867,600,267,497,0
1,final_final_results_train10_train_e001,rl_seed47_spawn2p00,rl,47,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,20.756664678033165,17.605668138659226,22.673436495979146,17.56680541332893,22.16628521502163,53.91677449999237,,159.99968000066536,16.60875,,0.6307769726247987,800,875,600,275,505,0
2,final_final_results_train10_train_e002,rl_seed40_spawn2p00,rl,40,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,17.721488900326435,16.92085620352723,16.890571872502306,13.599680233019795,20.81477936830868,50.3876007750048,,160.39967920066704,14.687916666666666,,0.7496437602260895,802,868,600,268,526,0
2,final_final_results_train10_train_e002,rl_seed41_spawn2p00,rl,41,2.0,300.00059999995244,0.0166667,models/studies/final_final_results_train10/shared_qtable.json,True,-1,17.305120512766855,14.090890383751002,16.846456267744454,17.995185536608922,17.758131043034194,44.758422850002006,,156.79968640065206,14.659166666666666,,0.8362765172791385,784,862,600,262,503,0
