epoch,split,summary_csv,n_runs,avg_wait_mean,throughput_mean,fairness_mean,red_light_violations_mean,avg_wait_std,throughput_std,fairness_std,red_light_violations_std,avg_wait_min,throughput_min,fairness_min,red_light_violations_min,avg_wait_max,throughput_max,fairness_max,red_light_violations_max,best_run_id,best_model_path,best_avg_wait,best_throughput,best_fairness,best_red_light_violations
1,train,results\final_final_results_train10_train_e001\summary.csv,8,20.667392259746343,156.19968760064955,0.7359985728824736,0.0,1.5660738449524723,2.075705709954762,0.07447609299216487,0.0,18.074764281873392,153.9996920006404,0.6307769726247987,0.0,23.007861367516284,159.99968000066536,0.8170687736036573,0.0,rl_seed46_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,18.074764281873392,155.99968800064872,0.8069400788102352,0.0
2,train,results\final_final_results_train10_train_e002\summary.csv,8,17.922710978584227,157.37468525065444,0.7502428279945599,0.0,0.5941282582459542,2.1841921167598546,0.06314472089265631,0.0,17.060455389247775,154.59969080064292,0.6124212117320497,0.0,18.876634318693938,160.39967920066704,0.8362765172791385,0.0,rl_seed47_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,17.060455389247775,156.3996872006504,0.6124212117320497,0.0
3,train,results\final_final_results_train10_train_e003\summary.csv,8,17.964232415839916,156.67468665065155,0.7642217745426982,0.0,0.9086070441438249,1.6385936836302826,0.059262405147197716,0.0,16.6613769317321,153.39969320063793,0.6480776571069378,0.0,19.61078366435477,158.3996832006587,0.8564426523297491,0.0,rl_seed47_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,16.6613769317321,157.1996856006537,0.811295966197927,0.0
4,train,results\final_final_results_train10_train_e004\summary.csv,8,16.969006884490746,157.6246847506555,0.6999659280464452,0.0,0.7513328726909649,3.3216753746297374,0.0845453004304529,0.0,16.01759421447541,153.39969320063793,0.6109244273682668,0.0,17.778996115353387,163.19967360067866,0.8401058774998854,0.0,rl_seed46_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,16.01759421447541,158.79968240066037,0.8401058774998854,0.0
5,train,results\final_final_results_train10_train_e005\summary.csv,8,16.338257074542796,156.04968790064893,0.7226663179739097,0.0,1.2325424871067885,1.890574361718379,0.07510606835940929,0.0,15.189751871187108,152.5996948006346,0.6541785527521534,0.0,19.039142950291726,157.7996844006562,0.8469058625388989,0.0,rl_seed47_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,15.189751871187108,154.99969000064456,0.6541785527521534,0.0
6,train,results\final_final_results_train10_train_e006\summary.csv,8,17.04408431403637,155.39968920064624,0.7519996548394142,0.0,0.7842296170330935,1.8330266119294065,0.061713938751360685,0.0,16.074044455179383,152.59969480063458,0.6618916458117154,0.0,18.198821201279465,157.39968520065455,0.8224289347916611,0.0,rl_seed40_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,16.074044455179383,155.99968800064872,0.7008852074448128,0.0
7,train,results\final_final_results_train10_train_e007\summary.csv,8,16.36428746948102,155.69968860064748,0.7800462710578105,0.0,0.8846662228349217,2.4750130874265284,0.05635805528373954,0.0,15.445286590023525,151.9996960006321,0.6761493752542539,0.0,17.67461959686327,158.9996820006612,0.8455038496250655,0.0,rl_seed46_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,15.445286590023525,153.59969280063873,0.7857490960367066,0.0
8,train,results\final_final_results_train10_train_e008\summary.csv,8,15.758130660406604,158.17468365065778,0.7772668833886006,0.0,0.866715533265394,1.5322688248011531,0.03166857724663421,0.0,14.233649038617974,156.19968760064955,0.7311098058545696,0.0,17.043177807373674,160.39967920066704,0.8086013365516471,0.0,rl_seed41_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,14.233649038617974,156.59968680065123,0.8071935680806649,0.0
9,train,results\final_final_results_train10_train_e009\summary.csv,8,16.09485231867164,158.47468305065902,0.7599498696515188,0.0,0.8660922099881324,3.6815101812235516,0.03796385389079216,0.0,14.917194848677521,153.79969240063957,0.6967524637130861,0.0,17.568734621993993,165.99966800069032,0.8132151602079668,0.0,rl_seed42_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,14.917194848677521,153.79969240063957,0.6967524637130861,0.0
10,train,results\final_final_results_train10_train_e010\summary.csv,8,15.894979805862075,157.34968530065436,0.743025038153065,0.0,0.5971677582596707,2.639799908017947,0.08390908571062561,0.0,15.151801777811125,151.59969680063043,0.5935284933468201,0.0,16.8112920931492,159.79968040066453,0.8475890724342736,0.0,rl_seed41_spawn2p00,models/studies/final_final_results_train10/shared_qtable.json,15.151801777811125,157.99968400065706,0.7409982976506367,0.0
