mode,avg_wait,p95_wait,throughput,avg_queue,fairness
fixed,25.920530514834912,65.98179863000634,98.93313546705447,13.275972222222222,0.6412240340284714
greedy,26.252527844392876,79.32265864500783,96.19980760037708,12.933194444444444,0.6549856544533341
neural,28.64303790769859,79.86015972000868,92.1331490670278,13.703333333333333,0.6557985579021712
rl,31.391591050885303,92.94685256001006,89.39982120035043,14.349305555555555,0.6552693144312065
adaptive,30.91412438276917,81.50932968500864,88.66648933368089,14.9475,0.6640761765820281
random,44.60255950883131,130.3052606100133,73.86651893362287,21.047777777777778,0.6097442019028916
