epoch,split,summary_csv,n_runs,avg_wait_mean,throughput_mean,fairness_mean,red_light_violations_mean,avg_wait_std,throughput_std,fairness_std,red_light_violations_std,avg_wait_min,throughput_min,fairness_min,red_light_violations_min,avg_wait_max,throughput_max,fairness_max,red_light_violations_max,best_run_id,best_model_path,best_avg_wait,best_throughput,best_fairness,best_red_light_violations
1,validation,results\pres2_sw010_ws12_20260313_val_e001\summary.csv,4,12.349242772375844,150.9163648339249,0.7727555106400779,0.0,0.7861895523255946,2.043504152741476,0.045331917938962636,0.0,11.287452521133266,148.3330366672481,0.7483636697922412,0.0,13.041212168734576,152.99969400059973,0.8407189591449405,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_001.json,11.287452521133266,151.9996960005958,0.7483636697922412,0.0
2,validation,results\pres2_sw010_ws12_20260313_val_e002\summary.csv,4,11.671489214948416,152.3330286672638,0.7941220914275028,0.0,0.44775077874017377,3.2773003795662223,0.08161149689759595,0.0,11.023331312841371,149.33303466725204,0.7186340852130326,0.0,12.047597493759065,155.33302266727554,0.9100592335055612,0.0,rl_seed48_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_002.json,11.023331312841371,149.66636733392,0.7704782409628047,0.0
3,validation,results\pres2_sw010_ws12_20260313_val_e003\summary.csv,4,12.11834500815563,152.33302866726376,0.7207218948001014,0.0,0.49558498002229046,3.3664949131305932,0.09812034245339864,0.0,11.60682481406376,147.99970400058012,0.62624850753998,0.0,12.79576157015045,154.99969000060756,0.8234130306313405,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_003.json,11.60682481406376,154.99969000060756,0.7850905673274094,0.0
4,validation,results\pres2_sw010_ws12_20260313_val_e004\summary.csv,4,12.454938181055198,152.0830291672628,0.7718088081316792,0.0,0.21882202010751067,2.3785257572380254,0.10112980947271032,0.0,12.14488022093719,149.33303466725204,0.6352990033222592,0.0,12.650542335637551,154.99969000060756,0.8635203115260506,0.0,rl_seed49_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_004.json,12.14488022093719,149.33303466725204,0.8635203115260506,0.0
5,validation,results\pres2_sw010_ws12_20260313_val_e005\summary.csv,4,12.484081167438298,152.1663623339298,0.8112522973490844,0.0,0.22993689510973325,2.349148025244416,0.04573764707225777,0.0,12.14488022093719,149.33303466725204,0.7579288703503675,0.0,12.650542335637551,154.99969000060756,0.8635203115260506,0.0,rl_seed49_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_005.json,12.14488022093719,149.33303466725204,0.8635203115260506,0.0
6,validation,results\pres2_sw010_ws12_20260313_val_e006\summary.csv,4,12.484081167438298,152.1663623339298,0.8112522973490844,0.0,0.22993689510973325,2.349148025244416,0.04573764707225777,0.0,12.14488022093719,149.33303466725204,0.7579288703503675,0.0,12.650542335637551,154.99969000060756,0.8635203115260506,0.0,rl_seed49_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_006.json,12.14488022093719,149.33303466725204,0.8635203115260506,0.0
7,validation,results\pres2_sw010_ws12_20260313_val_e007\summary.csv,4,12.289035053578548,151.41636383392685,0.7764013530778812,0.0,0.2776187177499217,2.6994458484983728,0.06020689154639937,0.0,12.01283676622444,149.33303466725204,0.7249390587179347,0.0,12.650542335637551,154.99969000060756,0.8635203115260506,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_007.json,12.01283676622444,151.9996960005958,0.7592171717171717,0.0
8,validation,results\pres2_sw010_ws12_20260313_val_e008\summary.csv,4,12.267769887042572,151.41636383392685,0.7618744518264439,0.0,0.2950518356795635,2.6994458484983728,0.03307784574117451,0.0,12.01283676622444,149.33303466725204,0.7249390587179347,0.0,12.650542335637551,154.99969000060756,0.8054127065203015,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_008.json,12.01283676622444,151.9996960005958,0.7592171717171717,0.0
9,validation,results\pres2_sw010_ws12_20260313_val_e009\summary.csv,4,12.267769887042572,151.41636383392685,0.7618744518264439,0.0,0.2950518356795635,2.6994458484983728,0.03307784574117451,0.0,12.01283676622444,149.33303466725204,0.7249390587179347,0.0,12.650542335637551,154.99969000060756,0.8054127065203015,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_009.json,12.01283676622444,151.9996960005958,0.7592171717171717,0.0
10,validation,results\pres2_sw010_ws12_20260313_val_e010\summary.csv,4,12.22318588533977,150.8330316672579,0.7539993042664256,0.0,0.40917832787491226,2.9376172506324285,0.04691099412925437,0.0,11.731946321833911,148.3330366672481,0.6916023062968719,0.0,12.650542335637551,154.99969000060756,0.8054127065203015,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_010.json,11.731946321833911,150.66636533392392,0.7610533338981615,0.0
11,validation,results\pres2_sw010_ws12_20260313_val_e011\summary.csv,4,12.22318588533977,150.8330316672579,0.7539993042664256,0.0,0.40917832787491226,2.9376172506324285,0.04691099412925437,0.0,11.731946321833911,148.3330366672481,0.6916023062968719,0.0,12.650542335637551,154.99969000060756,0.8054127065203015,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_011.json,11.731946321833911,150.66636533392392,0.7610533338981615,0.0
12,validation,results\pres2_sw010_ws12_20260313_val_e012\summary.csv,4,12.22318588533977,150.8330316672579,0.7539993042664256,0.0,0.40917832787491226,2.9376172506324285,0.04691099412925437,0.0,11.731946321833911,148.3330366672481,0.6916023062968719,0.0,12.650542335637551,154.99969000060756,0.8054127065203015,0.0,rl_seed50_spawn2p00,models\epoch_snapshots\pres2_sw010_ws12_20260313\epoch_012.json,11.731946321833911,150.66636533392392,0.7610533338981615,0.0
